shopname,tags,address&tel,average,features
616牛肉火鍋專門店(元朗店),标签:火锅,地址:西菁街9号富盛大厦地下95-100铺（元朗千色店）   37020899,¥179,特色: 蟹籽烧卖   红烧牛肋骨   溏心燻蛋
Plato Cafe & Bistrol,标签:咖啡厅,地址:九龍佐敦吳松街186-188號地鋪   +852-23888269,¥197,特色: 杨枝甘露   芒果班戟   榴梿忘返
豫园,标签:中餐,地址:铜锣湾登龙街18号V Point26楼   +852-21561688,-,特色: 鼎點叉燒包   虾饺   黑松露燒賣
满记甜品(上环西港城店) 分店,标签:面包甜点   甜品,地址:上环西港城地下4-6号   28512606,¥37,特色: 杨枝甘露   芒果白雪黑糯米甜甜   芒果布丁
à nu retrouvez-vous,标签:法国菜   西餐,地址:尖沙咀廣東道3-27號海港城海運大廈4樓OTE 402號舖   +852-27706222,-,特色: 海胆   鱼身刺身   烧菠萝
鼎点1968,标签:茶餐厅   粤菜,地址:中环云咸街59号地铺   +852-23261968,¥71,特色: 红虾手造意大利幼面
满记甜品(荃新天地店) 分店,标签:面包甜点   甜品,地址:荃湾荃新天地一期地下G46号铺   29410170,¥48,特色: 香茅鸡扒套餐   叉烧饭   虾饺皇
極上帝王水產,标签:日本料理,地址:旺角兆萬中心9/ F全層   +852-21111821,¥197,特色: 韩式粉丝鸡蛋卷   果木蒜香烤鸡   柚子沙冰
Involtini Italian Cuisine,标签:西餐,地址:灣仔駱克道459-461 The L Square 11樓   +852-26582128,-,特色: Mr.Rich曲奇   魔法六味曲奇   杏仁香芋紫薯酥
碧林餐厅,标签:更多美食,地址:香港大屿山香港迪士尼乐园探险世界   +852-35503388,¥93,特色: 片皮鸭   竹丝鸡炖鲍翅   狗仔煲
Goobne Chicken,标签:小吃快餐,地址:将军澳唐贤街19号天晋汇II期1楼119A号铺   +852-27120002,-,特色: 麻痺雞煲
魔术兔曲奇(旺角店),标签:面包甜点   甜品,地址:旺角彌敦道636號銀行中心廣場1樓28-29号铺   +852-96597700,¥89,特色: 鲍鱼鸡粒酥   杨枝甘露   龙带玉梨香
凤城皇宴(尖沙咀店) 分店,标签:粤菜   中餐,地址:尖沙咀麼地道75号南洋中心地库A号鋪   +852-27218798,¥126,特色: 浓厚原只鸡煲花胶汤   安格斯牛肉   花竹虾
麻痹鸡,标签:中餐   川菜,地址:仁兴街52号地下   +852-26381399,¥182,特色: 香辣味烤鱼   烤羊肉串   炸鲜奶
龙景轩,标签:中餐   粤菜 米其林三星,地址:中环金融街8号香港四季酒店4楼   +852-31968880,¥991,特色: 丼瀛龙虾刺身双层爆丼   筑地寿司杯   蒲燒原條鰻魚雙層爆丼
鲜入围煮,标签:火锅,地址:旺角登打士街43H号登打士广场2楼   +852-27822003,¥440,特色: 法国鹅肝
十二味不只是烤鱼(天后店),标签:中餐   川菜,地址:天后兴发街62-74号美城花园地下L铺   +852-53491898,¥130,特色: 酥皮焗叉烧包   虾饺   豉汁蒸凤爪
丼瀛(廟街),标签:日本料理,地址:佐敦廟街188號地舖   +852-28858077,¥160,特色: 一兰拉面   半熟盐煮蛋   叉烧
EL Dining,标签:西餐,地址:铜锣湾告士打道230号宇宙商业大厦9楼   +852-28894018,-,特色: 招牌菠萝包   咸芝士牛肉猪仔包   番茄秘制鸡翼乌冬冻奶茶
添好运(深水埗店) 分店,标签:港式小吃   小吃快餐 米其林一星,地址:深水埗福荣街9-11号地铺   ,¥61,特色: 避风塘炒蟹   拆肉濑尿虾   黃金豆付
一兰拉面(铜锣湾店),标签:日本料理   面条,地址:铜锣湾谢斐道440号骆克大厦A座地下FI铺   +852-21524040,¥106,特色: 虾仁叉烧双拼滑蛋饭   丝袜奶茶   番茄通粉
华嫂冰室(湾仔),标签:茶餐厅   粤菜,地址:湾仔谢斐道272号杜智台地下3-4号铺   +852-26985599,¥55,特色: 招牌菠蘿包   冻奶茶   茄汁鸡翅猪排粉
辣蟹舫,标签:海鲜   粤菜,地址:香港特別行政區深水埗順寧道483號順景華庭商場1樓   +852-24660698,-,特色: 一兰拉面   溏心蛋   抹茶杏仁豆腐
旺记冰室,标签:茶餐厅   粤菜,地址:尖沙咀亚士厘道29-39号九龙中心大厦地铺   ,¥50,特色: 纯金北海道牛奶雪糕   金箔冰淇淋   哈密瓜芭菲
华嫂冰室,标签:茶餐厅   粤菜,地址:观塘敬业街皇廷广场1号铺   +852-26173238,¥56,特色: 甘牌烧鹅   蜜汁叉烧   烧乳猪
一兰拉面(尖沙咀店),标签:日本料理   面条,地址:尖沙咀棉登径8号   +852-23694218,¥111,特色: 脆皮鮮蝦腸   虾饺   有菠蘿的菠蘿飽
i CREMERiA(尖沙咀店),标签:冰淇淋,地址:尖沙咀广东道3-27号海港城海运大厦地下OT-G03A号铺   +852-23866266,¥84,特色: 酥皮叉烧包   虾饺   美味鲍汁凤爪
甘牌烧鹅,标签:茶餐厅   粤菜 米其林一星,地址:湾仔轩尼诗道226号宝华商业中心   +852-25201110,¥138,特色: 义燒包   醬汁鳳爪
点点心点心专门店(佐敦店) 分店,标签:茶餐厅   粤菜,地址:佐敦文汇街28号文景楼地下   +852-27717766,¥64,特色: 芝麻糊   薏米白果腐竹糖水   宁波姜汁汤丸
城市汇(尖沙咀店),标签:西餐,地址:尖沙咀加连威老道20-22号瑞生尖沙咀酒店4楼   +852-27511999,¥170,特色: 雞油花雕蒸大花蟹   枸杞桂花雪糕   龙井菊花燻乳鸽
添好运(北角店) 分店,标签:港式小吃   小吃快餐 米其林一星,"地址:北角和富道2-8号嘉洋大厦地下B,C及D铺   +852-29795608",¥60,特色: 刺身   甜虾   烤牛舌
太湖海鲜城(西湾河店) 分店,标签:粤菜   海鲜,地址:西湾河筲箕湾192-198号地下及阁楼   +852-25695144,¥164,特色: 脆皮鲜虾肠   晶莹鲜虾饺   真系菠萝包
佳佳甜品,标签:面包甜点,地址:佐敦宁波街29号   +852-23843862,¥20,特色: 4MIX   牛油小花   曲奇
大班楼,标签:粤菜   中餐,地址:中环九如坊18号地下   +852-25552202,¥601,特色: 炸豆皮（响铃）   活虾   花雕醉鸡锅汤底
大喜屋日本料理,标签:自助餐,地址:尖沙咀弥敦道74-78号文逊大厦5楼   +852-27390086,¥221,特色: 清汤牛腩   腩汁萝卜   咖喱牛腩
点点心点心专门店(旺角店) 分店,标签:港式小吃   小吃快餐,地址:香港通菜街112号   +852-23092300,¥62,特色: 芒果糯米糍   榴莲糯米糍   芒果西米露
珍妮曲奇聪明小熊(尖沙咀店) 分店,标签:面包甜点   甜品,地址:尖沙咀弥敦道54-64号美丽都大厦二楼商铺   +852-23118070,¥126,特色: 墨鱼   皇牌套餐   生肠
金海阁海鲜火锅,标签:火锅,地址:铜锣湾登龙街31-35号地下   +852-25730552,¥395,特色: 抹茶千层   原味千層   玫瑰千层蛋糕
火山烧,标签:烤肉,地址:铜锣湾骆克道459-461号The L.Square 9-10楼   28897008,¥288,特色: 牛舌   牛肋肉   烧肉拼盘
华姐清汤腩(天后电气道店),标签:面条   小吃快餐,地址:天后电气道13号A地铺   +852-28060683,¥56,特色: 双拼饭   香煎鲳鱼   奶茶
聪记糯米糍,标签:面包甜点,地址:湾仔轩尼诗道289号地下   +852-25111428,¥13,特色: 酥皮焗叉烧包   虾饺   凤爪
肥姐小食店,标签:港式小吃   小吃快餐,地址:旺角登打士街55号4A铺   +852-91917683,¥25,特色: 柚子蒟蒻
Lady M Cake Boutique(海港城店),标签:面包甜点,地址:广东道17号海港城海运大厦2楼OT215K号铺   +852-28732356,¥81,特色: 脆皮鲜虾肠   虾饺   酱皇蒸凤爪
牛角日本烧肉专门店(海运大厦店) 分店,标签:日本料理,地址:尖沙咀广东道17号海港城海运大厦3楼LCX内309R1号铺   +852-21531686,¥244,特色: Coco Bowl
AOK港式茶餐厅,标签:茶餐厅   粤菜,地址:昂坪360集市   +852-22593918,¥111,特色: 鲜虾云吞面   蟹皇粥   薏米水
添好运(中环IFC店) 分店,标签:港式小吃   小吃快餐,地址:港铁香港站12A铺   +852-23323078,¥64,特色: 龙井熏太爷鸡   八位金砖豆腐   鲜茨实浓鸡汤浸菜苗
Oggi,标签:西餐,地址:天后水星街9号地下B铺   +852-39545381,¥140,特色: 咖喱牛筋腩伊面   清湯牛腩面   上汤牛腩伊面
点点心点心专门店(湾仔店) 分店,标签:茶餐厅   粤菜,地址:湾仔天乐里7号地下   +852-28917677,¥67,特色: 避风塘炒蟹   白胡椒粉絲波士頓龍蝦   避风塘濑尿虾(一只)
supabowl,标签:冰淇淋,地址:湾仔汕头街4号地下A1号铺   ,¥67,特色: 酥皮叉烧包   虾饺   豉汁蒸凤爪
池记(尖沙咀店) 分店,标签:茶餐厅   粤菜,地址:香港尖沙咀乐道52号   +852-23682528,¥73,特色: 滑蛋叉烧虾仁双拼饭   特浓番茄午餐肉通粉   自家製叉燒日本滑蛋飯
六公馆,标签:粤菜   中餐,地址:海港城海運大廈地下OTE 101號舖   +852-25771668,¥544,特色: 芋头鸭脚卷   凤爪   虾肠粉
九记牛腩(上环店),标签:小吃快餐,地址:中环歌赋街21号   +852-28505967,¥55,特色: 鲍鱼&鲍鱼肝酱   海胆布丁   Otoro
旺角海鲜菜馆,标签:海鲜   粤菜,地址:香港九龙旺角洗衣街153号地下   +852-23952883,¥344,特色: ice cappuccino   拿铁   玉子烧三明治
添好运(奥海城店) 分店,标签:港式小吃   小吃快餐 米其林一星,地址:大角咀海庭道18号奥海城二期G楼72号铺   +852-23322896,¥61,特色: 雪花霜降肥牛   象拔蚌   海鲜锅底
旺记冰室,标签:茶餐厅   粤菜,地址:湾仔谢斐道142号建利大厦地铺04号铺   +852-25282927,¥49,特色: 紅丝絨雪糕泡芙   焦糖燉蛋泡芙   忌廉泡芙
新兴发点心,标签:茶餐厅   粤菜,地址:德辅道西239号德美楼一楼   +852-25471988,¥58,特色: 榴莲水晶珠   椰果龙眼冰   杨枝金露
志魂,标签:日本料理 米其林三星,地址:上环苏杭街29号尚园   +852-26436800,¥4069,特色: 避风塘桥底蟹   蒜泥空心菜   脆皮炸猪手
OMOTESANDO KOFFEE,标签:咖啡厅,地址:灣仔皇后大道東200號利東街G24-25號舖   +852-26013323,¥67,特色: 冰拿铁   咖啡拿铁   冰美式
高流湾海鲜火锅,标签:火锅   海鲜,地址:尖沙咀山林道 21-23号   ,¥708,特色: 士多啤梨蓝莓班戟   原味班戟   榛子巧克力焦糖香蕉班戟
Owls Choux.Gelato.Coffee(尖沙...,标签:面包甜点,地址:尖沙咀么地道32号地铺   +852-96229342,¥52,特色: 松露意面   牛肉   松露冰淇淋
聪嫂私房甜品(铜锣湾店) 分店,标签:面包甜点,地址:铜锣湾耀华街11号地铺   +852-22782622,¥34,特色: 黑糖鹿丸鮮奶   皇家9号奶茶   珍珠奶茶
金妹记大排档(尖沙咀店),标签:中餐,地址:尖沙咀金巴利道45-47号金巴利广场地下   +852-66908809,¥131,特色: 海盐焦糖千层蛋糕   玫瑰千层蛋糕   抹茶千层蛋糕
% Arabica,标签:咖啡厅,地址:尖沙咀天星碼頭1樓KP-41舖   +852-23235203,¥38,特色: 果冻鸭血   麻辣锅底   牛小排
FLIPPER'S,标签:面包甜点,地址:銅鑼灣軒尼詩道希慎广场6楼631-632   ,¥99,特色: 迷你焦糖向日葵   梵高艺术甜点   迷你夜闌熱情
8½ Otto e Mezzo BOMBANA,标签:西餐 米其林三星,地址:中环德辅道中5-17号历山大厦2楼202号铺   25378859,¥1271,特色: 龙吟秘制甜品   每一道都很不错   鮟鱇鱼肝
鹿角巷,标签:奶茶/果汁,地址:尖沙咀北京道良士大廈   +852-21579267,¥24,特色: 深井烧鹅   鮑汁鮑魚飯   鹵水鵝肝
Lady M Cake Boutique(香港国际...,标签:面包甜点   甜品,地址:大屿山香港国际机场翔天路 1 号机场一号客运大楼 7 楼东大堂 7E142A & 7E151 单位   +852-28121228,¥87,特色: 炒蛋多士   奶茶   校长多士
麻神麻辣火鍋,标签:中餐,地址:銅鑼灣登龍街1-29號金朝陽中心2期Midtown25樓   +852-23410999,-,特色: 餐前面包   奶油龙虾汤   鳕鱼
梵高艺术体验馆,标签:西餐,地址:九龙尖沙咀广东道2A2楼   +852-26222887,¥230,特色: 全虾云吞   南乳猪手   云吞面
天空龙吟日本料理,标签:日本料理 米其林二星,地址:尖沙咀柯士甸道西1号环球贸易广场101楼   +852-23020222,¥2604,特色: 清汤腩面   清汤牛四宝   港式冻奶茶
裕.鵝莊,标签:粤菜   中餐,地址:香港九龍尖沙咀亞士厘道37號C舖   +852-23871133,¥203,特色: 蟹籽手撕鸡   芒果一口脆   椒盐濑尿虾
华星冰室(西洋菜南街店) 分店,标签:茶餐厅   粤菜,地址:旺角西洋菜南街107号地下C号铺   +852-25206666,¥49,特色: 脆皮炸大肠   脆皮炸猪手   鬼马油炸鬼
L'Atelier de Joël Robuchon,标签:法国菜   西餐 米其林三星,地址:中环德辅道中12-16号置地广场4楼401号   +852-21669000,¥1322,特色: 菊花五蛇羹   润肠饭   蛇羹套餐
麦文记面家(佐敦店),标签:小吃快餐,地址:佐敦白加士街51号凯豪商业中心地下   +852-27365561,¥42,特色: 金箔鱼子酱海胆   和牛牛排   甜品
牛b仔清汤腩餐厅,标签:面条   小吃快餐,地址:九龙佐敦北海街11号地下   +852-26283433,¥55,特色: 咖喱鱼蛋   炸大肠   牛杂
陈根记,标签:茶餐厅   粤菜,地址:沙田禾輋村街市大排档3-5号   +852-26061390,¥127,特色: 甜蝦刺身   三文魚   烧牛舌
妹记大排挡(尖沙咀店),标签:粤菜   中餐,地址:尖沙咀加拿芬道20号加拿芬广场5楼   +852-27212123,¥137,特色: 辣无渣汤底   虾滑   滑牛肉
卡洛芝士吐司,标签:西餐,地址:太平山山顶凌霄阁下   +852-64361818,-,特色: 牛肉火锅   牛朴肉
蛇王二,标签:粤菜   中餐,地址:铜锣湾波斯富街24号地铺   +852-28310163,¥82,特色: 榴莲品鉴盘   榴莲跌落奶   榴莲珍珠奶茶
Amber(置地文华店),标签:法国菜   西餐 米其林二星,地址:中环皇后大道中15号置地文华东方酒店7楼   +852-21320066,¥1652,特色: Shack Burger   薯条   cheese fries
goobne炸鸡,标签:韩国料理,地址:香港特別行政區油尖旺區赫德道7号   +852-23110001,¥135,特色: 三层烧腩   龙虾泡饭   煲汤
华记小食,标签:港式小吃   小吃快餐,地址:九龙尖沙咀宝勒巷   ,¥35,特色: 核桃   限量版手工迷你奶黄月饼   叉烧包
极尚大喜屋,标签:日本料理,地址:香港九龙尖沙咀加连威老道2-6号爱宾商业大厦后座1楼102   +852-31881988,¥254,特色: 黄金鸡蛋仔   芝士雞蛋仔   香蕉巧克力鸡蛋仔
海底捞火锅(油麻地店),标签:火锅   中餐,地址:油麻地彌敦道555号九龙行2、3楼   +852-39967799,¥202,特色: 抹茶千层蛋糕   玫瑰千层蛋糕   伯爵千层蛋糕
616牛肉火锅专门店(荃灣店),标签:火锅,地址:荃湾三陂坊 616牛肉火锅专门店   +852-90234199,-,特色: 及第粥   猪润粥   鱼腩鱼球粥
榴莲BB,标签:水果生鲜,地址:觀塘 敬業街 65-67 號 敬運工業大廈 2樓 B室   +852-37088732,¥161,特色: earl grey martini   LavendarMeringu   Dry Martini
Shake Shack(ifc国际金融中心店),标签:小吃快餐   汉堡,地址:中環港景街1號國際金融中心4樓4018號舖   ,¥87,特色: 金牌叉烧王   水晶蟹肉带子饺   金華玉樹雞
利苑酒家(IFC店) 分店,标签:粤菜   中餐 米其林一星,地址:中环港景街1号国际金融中心商场二期3楼3008号铺   +852-22950238,¥437,特色: 奶茶   咖喱牛腩饭   猪仔包
Docks Bar and Restaurant,标签:西餐,地址:享和街57號都城大樓地下A舖   +852-28122121,-,特色: 奶黄流沙西多士   芝麻虾多士   蟹黄松露烧卖
嘉麟楼,标签:粤菜   中餐,地址:尖沙咀梳士巴利道22号香港半岛酒店1楼   +852-26966760,¥783,特色: Popcorn chicken
妈咪鸡蛋仔(佐敦店),标签:港式小吃   小吃快餐,地址:佐敦庙街219号   +852-59953210,¥26,特色: 老鸭湯   安格斯顶级牛肉   手打花枝丸
Lady M Cake Boutique(Fashion W...,标签:面包甜点,地址:铜锣湾Fashion Walk加宁街1-3号地下C铺   +852-28611866,¥102,特色: 虾饺   蒸凤爪   肠粉
生记粥品专家(毕街店) 分店,标签:港式小吃   小吃快餐,地址:上环毕街7-9号地下   +852-25411099,¥41,特色: 流心奶黄   杏仁条   蛋黄莲蓉月饼
Quinary,标签:酒吧,地址:香港中环荷李活道58号   +852-28513223,¥170,特色: 丝袜奶茶   猪扒包   菠萝油
鹰巢中菜厅(旺角希尔顿花园酒店),标签:中餐   粤菜,地址:旺角豉油街2号香港旺角希尔顿花园酒店2楼   +852-22013661,-,特色: 皇牌套餐   大墨鱼   大生肠
翠华餐厅(加拿芬道店) 分店,标签:茶餐厅   粤菜,地址:尖沙咀加拿分道2号   +852-23668250,¥70,特色: 牛杂   炸大肠   萝卜
周记点心,标签:茶餐厅   粤菜,地址:西环西营盘水街东利大厦地下H1号铺   00852-25592389,¥57,特色: 蜂蜜牛油芒果無骨脆雞   無骨香脆雞   原味和香甜辣脆鸡
Al Forno Pizzeria,标签:西餐   披萨,地址:中环鸭巴甸街41号金豪大厦地下2号铺   28983833,-,特色: 鲜虾云吞面   薏米水   牛腩云吞面
金捞老鸭汤刺身火锅专门店,标签:火锅   海鲜,地址:佐敦文昌街25-47号文昌楼地下41及43号   +852-23327600,¥438,特色: 豆腐花   煎酿豆腐   豆浆
莲香居,标签:茶餐厅   粤菜,地址:上环德辅道西46-50号西区中心大厦地铁西营盘A2   +852-21569328,¥86,特色: 西班牙黑豚肉   手工切牛肉   花雕醉乌鸡
美心西饼 分店,标签:面包甜点   特产手信,地址:尖沙咀港铁尖沙咀站1号铺   27234088,¥147,特色: 生虾刺身   青咖哩軟殼蟹   椰青焗海鲜
兰芳园茶餐厅(尖沙咀店) 分店,标签:茶餐厅   粤菜,地址:尖沙咀弥敦道36-44号重庆大厦活方地库26号铺   +852-23162311,¥51,特色: 三文鱼子海鲜球   黑松露芝士   串烧牛舌
第三代肥仔小食店,标签:港式小吃   小吃快餐,地址:尖沙咀厚福街3号华博商业大厦G1地铺   +852-62553872,¥26,特色: 冻奶茶   猪扒面   牛肉鸡蛋
庙街牛什,标签:小吃快餐,地址:油麻地鸦打街18号   ,¥26,特色: 豉椒炒蛏子   黑椒暑仔牛肉粒   黑椒咸猪手
Dodam chicken(利舞台),标签:小吃快餐,"地址:铜锣湾波斯富街99号利舞台18/F, 18A   +852-23338365",¥202,特色: 晶莹鲜虾饺   叉烧餐包   豉汁蒸凤爪
池记(中环店) 分店,标签:茶餐厅   粤菜,地址:中环干诺道中21-22号华商会所大厦地下至1楼   +852-25220786,¥77,特色: 炒蛋多士   奶茶   特色猪扒包
公和荳品厂(深水埗店) 分店,标签:港式小吃   小吃快餐,地址:深水埗北河街118号地下   23866871,¥18,特色: 清汤牛腩河   咖喱牛腩饭   清汤腩捞面
火鍋英雄(銅鑼灣店),标签:火锅,地址:銅鑼灣駱克道491-499號京都廣場三樓   +852-26931128,¥332,特色: 狗仔粉   招牌火鸭翅   大杂烩
米逻泰国餐厅(铜锣湾店),标签:东南亚菜,地址:香港铜锣湾耀华街3号百乐中心2楼全层   +852-28850060,¥229,特色: 招牌菠萝包   招牌冰花奶茶   番茄鸡翼猪扒通粉
Jan Jan 串扬专门店,标签:日本料理,地址:湾仔皇后大道东100号2楼   +852-21571408,¥294,特色: 虾饺   豉汁蒸凤爪   各式点心
炳记茶档,标签:茶餐厅   粤菜,地址:大坑施弼街5號側   +852-25773117,¥42,特色: 蟹粉酿蟹盖   清炒虾仁   小黄鱼
爱文生,标签:小吃快餐,地址:深水埗石硖尾街荔枝角道215号侧   +852-23939315,¥151,特色: 爆盛慢烧牛肉丼   三色海胆井   海胆饭
添好运(高铁西九龙站店),标签:港式小吃   小吃快餐,地址:高鉄西九龙站B1M铺   +852-27445722,¥58,特色: 鲜虾云吞面   干炒牛河   艇仔粥
华星冰室(湾仔店) 分店,标签:茶餐厅   粤菜,地址:湾仔克街6号广生行大厦地下B1号铺   +852-26667766,¥44,特色: 冻奶茶   咖喱牛腩饭   鱼蛋河粉
食得栈清汤腩王(砵兰街一店),标签:港式小吃   小吃快餐,地址:油麻地庙街36-40号永星大厦C铺   +852-27712681,¥51,特色: 夏宫脆皮鸡   酥皮叉烧包   乳猪
十八座狗仔粉,标签:港式小吃   小吃快餐,地址:尖沙咀金馬倫道29號地下B舖   +852-25638020,¥34,特色: 狗仔粉   火鸭翅   香辣鱼蛋
华嫂冰室,标签:茶餐厅   粤菜,地址:元朗屏山坑头村   +852-26172232,¥54,特色: 凤爪   蟹子蒸烧麦   流沙奶皇包
美心皇宫(中环大会堂店) 分店,标签:粤菜   中餐,地址:中环爱丁堡广场5-7号大会堂低座2楼   +852-25211303,¥207,特色: 黑金流沙包   白玉乳鸽   白玉王鸽
夜上海(尖沙咀店) 分店,标签:中餐,地址:尖沙咀广东道3号马哥勃罗香港酒店6楼   23763322,¥466,特色: 雪芒杨枝甘露   木糠蛋糕   雪芒金枝玉露
爆丼屋,标签:日本料理,地址:旺角豉油街50号   +852-23322918,¥217,特色: chicken wings   truffle french fries   松露菌菇饭
何洪记(希慎广场店),标签:小吃快餐 米其林一星,地址:铜锣湾轩尼诗道500号希慎广场12楼1204-1205号铺   +852-25776060,¥127,特色: 风沙鸡   黄金虾   避风塘炒蟹
Pasta Zone,标签:西餐,地址:观塘开源道60号骆驼漆大厦3期1楼J室   +852-23252335,-,特色: 4mix   四味奶油曲奇   八味果仁曲奇
翠华餐厅(铜锣湾店) 分店,标签:茶餐厅   中餐,地址:景隆街20-22号新安大厦地下   00852-25734338,¥72,特色: 滑蛋菠萝油   滑蛋叉烧饭   滑蛋三寶飯
夏宫,标签:粤菜   中餐 米其林二星,地址:金钟法院道太古广场二座港岛香格里拉酒店5楼   +852-28208552,¥575,特色: 红烧牛肉面   丝袜奶茶   烧味拼盘
十八座狗仔粉(佐敦店),标签:港式小吃   小吃快餐,地址:佐敦白加士街120号   +852-25638020,¥30,特色: 自助餐   米奇松饼   三文鱼刺身
逸翠轩点心专门店,标签:茶餐厅   粤菜,地址:尖沙咀东部麽地道61号冠华中心G11-G12铺   +852-23622301,¥75,特色: 蛋牛治   炸云吞   卤水鸡翅
唐宫小聚,标签:粤菜   中餐,地址:尖沙咀廣東道30號新港中心三樓303號舖   +852-31681362,¥182,特色: 杨枝甘露   雪糕幻彩明珠   绵绵冰
松记糖水店,标签:饮料冰品   面包甜点,地址:佐敦白加士街23号   +852-27367892,¥31,特色: 蛋挞   沙翁   叉烧批
Dear Lilly,标签:西餐,地址:中环金融街8号国际金融中心商场4楼4010号铺   +852-27716060,¥263,特色: 甜虾刺身   三文鱼   烧牛舌
东宝小馆,标签:粤菜   中餐,地址:北角渣华道99号渣华道市政大厦2楼   +852-28805224,¥312,特色: 流沙包   虾饺   咖喱金钱肚
珍妮曲奇聪明小熊(上环店) 分店,标签:面包甜点   甜品,地址:上环永和街15号地铺   +852-25241988,¥131,特色: 鲜虾云吞   薏米水   云吞面
顺兴车仔面茶餐厅,标签:茶餐厅   粤菜,地址:铜锣湾大坑京街18号地下   +852-25766577,¥48,特色: 脆酿鲜蟹盖   杨枝甘露   青椒和牛
台湾牛肉面 中国厨房 分店,标签:面条   小吃快餐,地址:尖沙咀广东道122号中港中心5楼   +852-31019855,¥108,特色: 黑毛猪叉烧   松露鹌鹑蛋烧卖   烤鸭
米奇厨师餐厅,标签:西餐,地址:香港大屿山香港迪士尼乐园迪士尼好莱坞酒店   +852-35105000,¥285,特色: 英式下午茶   下午茶   两人份set
嘉乐冰厅,标签:茶餐厅   粤菜,地址:荃湾新村街40B号地下   +852-24937308,¥55,特色: 车仔面   咖喱鱼蛋   大肠
松记糖水店(铜锣湾店) 分店,标签:饮料冰品   面包甜点,地址:铜锣湾坚拿道西15号永德大厦地下G13号地铺   +852-34807222,¥41,特色: 飞驒牛A5   招牌肉匠烧   松叶蟹
泰昌饼家(尖沙咀天星码头店) 分店,标签:面包甜点   特产手信,地址:尖沙咀维多利亚港天星码头KP31-32号铺   27240068,¥12,特色: 原味鸡蛋仔   紫薯鸡蛋仔   抹茶鸡蛋仔
大喜屋日本料理(铜锣湾店),标签:日本料理,地址:轩尼诗道502号铜锣湾黄金广场7楼   +852-36222182,¥195,特色: 猪颈肉芝士捞公仔面   冻柠茶   瑞士汁鸡翅
新兴食家,标签:粤菜   中餐,地址:西环坚尼地城士美菲路8号地下C号铺   +852-28160616,¥69,特色: 卜卜蚬   豉汁蒸鱼云   杂果咕噜肉
池记(铜锣湾店) 分店,标签:茶餐厅   粤菜,地址:铜锣湾波斯富街84号地下   +852-28908616,¥73,特色: 三文鱼   甜虾   一口牛肉
欣图轩,标签:粤菜   中餐 米其林二星,地址:尖沙咀梳士巴利道18号香港洲际酒店大堂低座   +852-23132323,¥913,特色: 龙皇披金甲   杨枝甘露   和牛鹅肝窝饭
卅二公館,标签:中餐,地址:中环德辅道中4-4a渣打银行大厦地库   +852-28858688,¥812,特色: 云吞面   薏仁水   金衣蟹黃粥
半岛酒店大堂茶座,标签:西餐,地址:尖沙咀梳士巴利道22号香港半岛酒店大堂   +852-26966772,¥323,特色: 特别牛肉汤河粉   生牛肉汤河粉   香茅烤猪颈肉
新记车仔面,标签:小吃快餐,地址:铜锣湾登龙街49号地下B铺   +852-25735438,¥43,特色: 招牌虾滑   捞派豆花   捞派毛肚
肉匠,标签:日本料理,地址:區銅鑼灣耀華街38號Zing! 大廈22樓   +852-23872878,¥1412,特色: 双皮奶   姜汁撞奶   猪扒包
妈咪鸡蛋仔(尖沙咀加拿芬道店) 分店,标签:小吃快餐,地址:尖沙咀加拿芬道8-12号嘉芬大厦地下   ,¥18,特色: 奶茶   咖喱牛腩饭   鱼蛋米线
新记餐厅,标签:茶餐厅   粤菜,地址:尖沙咀金巴利道16-20号香槟大厦一层13-14号铺   +852-27224555,¥63,特色: 西班牙黑毛豬鞍   芝士肉酱千层面
壹食就醉,标签:粤菜   中餐,地址:尖沙咀金巴利道77号东南大厦1楼   ,¥210,特色: 豚王黑王   溏心蛋   赤王
大瀛喜日本料理,标签:日本料理,地址:旺角奶路臣街11号MPM文华商场5楼   +852-36222211,¥180,特色: 肠粉   鱼蛋猪皮   艇仔粥
明阁,标签:粤菜   中餐 米其林一星,地址:旺角上海街555号香港康得思酒店酒店6楼   +852-35523300,¥519,特色: 脆皮婆参   酸辣面   三宝
池记(朗豪坊店),标签:茶餐厅   粤菜,地址:旺角亚皆老街8号朗豪坊商场4楼   ,¥69,特色: 糯米饭   煎肠粉   马来西亚喳咋
蔡澜越南粉(中环店),标签:东南亚菜,地址:香港中环威灵顿街15-25号骐利大厦UG层   +852-23259117,¥116,特色: 萝卜   牛腩   車仔麵
海底捞火锅(铜锣湾店),标签:火锅   中餐,地址:铜锣湾波斯富街99号利舞台19楼   +852-23222865,¥225,特色: 燕麦龙虾   叉烧   杨枝甘露
义顺牛奶公司(铜锣湾骆克道店) 分店,标签:小吃快餐   甜品,地址:铜锣湾骆克道506号地下   +852-25911837,¥36,特色: 甜品   龙虾   餐前包
翠华餐厅(中环店) 分店,标签:茶餐厅   粤菜,地址:中环威灵顿街15-19号地下至2楼   +852-25256338,¥75,特色: 抹茶千層蛋糕   原味千层蛋糕   玫瑰千层蛋糕
Story Steak & Pasta,标签:西餐,地址:鳳攸南街9號好順利大廈地下3號舖   24778636,-,特色: 岩烧布丁梳乎厘   炎烧布丁梳乎厘   原味梳乎厘牛奶雪糕
